C,CV_mean_accuracy,accuracy,classifier_desc,dim,gamma,kernel,metriclearn_type,n_neighbors,p,sample_size,test_size,var
,,0.975833333333,KNN,3,,,,1,0.5,4000,0.3,0.2
,0.974642857143,,KNN,3,,,,1,0.5,4000,0.3,0.2
,,0.975,KNN,3,,,LMNN,1,0.5,4000,0.3,0.2
,0.975357142857,,KNN,3,,,LMNN,1,0.5,4000,0.3,0.2
,,0.985833333333,KNN,3,,,,10,0.5,4000,0.3,0.2
,0.980357142857,,KNN,3,,,,10,0.5,4000,0.3,0.2
,,0.986666666667,KNN,3,,,LMNN,10,0.5,4000,0.3,0.2
,0.980357142857,,KNN,3,,,LMNN,10,0.5,4000,0.3,0.2
1,,0.545833333333,SVM,3,0.01,rbf,,,0.5,4000,0.3,0.2
0.1,0.508928571429,,SVM,3,0.003,rbf,,,0.5,4000,0.3,0.2
0.1,0.5425,,SVM,3,0.01,rbf,,,0.5,4000,0.3,0.2
1,0.539285714286,,SVM,3,0.003,rbf,,,0.5,4000,0.3,0.2
1,0.546785714286,,SVM,3,0.01,rbf,,,0.5,4000,0.3,0.2
1,,0.7575,SVM,3,0.01,rbf,LMNN,,0.5,4000,0.3,0.2
0.1,0.541071428571,,SVM,3,0.003,rbf,LMNN,,0.5,4000,0.3,0.2
0.1,0.559642857143,,SVM,3,0.01,rbf,LMNN,,0.5,4000,0.3,0.2
1,0.563928571429,,SVM,3,0.003,rbf,LMNN,,0.5,4000,0.3,0.2
1,0.695714285714,,SVM,3,0.01,rbf,LMNN,,0.5,4000,0.3,0.2
,,0.959166666667,KNN,4,,,,1,0.5,4000,0.3,0.2
,0.9475,,KNN,4,,,,1,0.5,4000,0.3,0.2
,,0.958333333333,KNN,4,,,LMNN,1,0.5,4000,0.3,0.2
,0.943928571429,,KNN,4,,,LMNN,1,0.5,4000,0.3,0.2
,,0.973333333333,KNN,4,,,,10,0.5,4000,0.3,0.2
,0.964642857143,,KNN,4,,,,10,0.5,4000,0.3,0.2
,,0.975,KNN,4,,,LMNN,10,0.5,4000,0.3,0.2
,0.966785714286,,KNN,4,,,LMNN,10,0.5,4000,0.3,0.2
1,,0.494166666667,SVM,4,0.01,rbf,,,0.5,4000,0.3,0.2
