C,CV_mean_accuracy,accuracy,classifier_desc,dim,gamma,kernel,metriclearn_type,n_neighbors,p,sample_size,test_size,var
,,0.958333333333,KNN,3,,,,1,0.5,2000,0.3,0.2
,0.969285714286,,KNN,3,,,,1,0.5,2000,0.3,0.2
,,0.956666666667,KNN,3,,,LMNN,1,0.5,2000,0.3,0.2
,0.97,,KNN,3,,,LMNN,1,0.5,2000,0.3,0.2
,,0.971666666667,KNN,3,,,,10,0.5,2000,0.3,0.2
,0.977857142857,,KNN,3,,,,10,0.5,2000,0.3,0.2
,,0.97,KNN,3,,,LMNN,10,0.5,2000,0.3,0.2
,0.977857142857,,KNN,3,,,LMNN,10,0.5,2000,0.3,0.2
0.1,,0.68,SVM,3,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,0.516428571429,,SVM,3,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.544285714286,,SVM,3,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.533571428571,,SVM,3,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.538571428571,,SVM,3,0.01,rbf,,,0.5,2000,0.3,0.2
1,,0.665,SVM,3,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.535714285714,,SVM,3,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.536428571429,,SVM,3,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.552857142857,,SVM,3,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.630714285714,,SVM,3,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.95,KNN,4,,,,1,0.5,2000,0.3,0.2
,0.946428571429,,KNN,4,,,,1,0.5,2000,0.3,0.2
,,0.953333333333,KNN,4,,,LMNN,1,0.5,2000,0.3,0.2
,0.945714285714,,KNN,4,,,LMNN,1,0.5,2000,0.3,0.2
,,0.966666666667,KNN,4,,,,10,0.5,2000,0.3,0.2
,0.966428571429,,KNN,4,,,,10,0.5,2000,0.3,0.2
,,0.968333333333,KNN,4,,,LMNN,10,0.5,2000,0.3,0.2
,0.964285714286,,KNN,4,,,LMNN,10,0.5,2000,0.3,0.2
1,,0.476666666667,SVM,4,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,0.502857142857,,SVM,4,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.502857142857,,SVM,4,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.502857142857,,SVM,4,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.508571428571,,SVM,4,0.01,rbf,,,0.5,2000,0.3,0.2
1,,0.776666666667,SVM,4,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.502857142857,,SVM,4,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.502857142857,,SVM,4,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.519285714286,,SVM,4,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.701428571429,,SVM,4,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.941666666667,KNN,5,,,,1,0.5,2000,0.3,0.2
,0.924285714286,,KNN,5,,,,1,0.5,2000,0.3,0.2
,,0.936666666667,KNN,5,,,LMNN,1,0.5,2000,0.3,0.2
,0.924285714286,,KNN,5,,,LMNN,1,0.5,2000,0.3,0.2
,,0.961666666667,KNN,5,,,,10,0.5,2000,0.3,0.2
,0.951428571429,,KNN,5,,,,10,0.5,2000,0.3,0.2
,,0.958333333333,KNN,5,,,LMNN,10,0.5,2000,0.3,0.2
,0.946428571429,,KNN,5,,,LMNN,10,0.5,2000,0.3,0.2
1,,0.56,SVM,5,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.502857142857,,SVM,5,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.555714285714,,SVM,5,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.6,,SVM,5,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.574285714286,,SVM,5,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,,0.568333333333,SVM,5,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.587857142857,,SVM,5,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.605714285714,,SVM,5,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.573571428571,,SVM,5,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.581428571429,,SVM,5,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.918333333333,KNN,6,,,,1,0.5,2000,0.3,0.2
,0.905714285714,,KNN,6,,,,1,0.5,2000,0.3,0.2
,,0.913333333333,KNN,6,,,LMNN,1,0.5,2000,0.3,0.2
,0.903571428571,,KNN,6,,,LMNN,1,0.5,2000,0.3,0.2
,,0.926666666667,KNN,6,,,,10,0.5,2000,0.3,0.2
,0.86,,KNN,6,,,,10,0.5,2000,0.3,0.2
,,0.915,KNN,6,,,LMNN,10,0.5,2000,0.3,0.2
,0.849285714286,,KNN,6,,,LMNN,10,0.5,2000,0.3,0.2
0.1,,0.511666666667,SVM,6,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.527857142857,,SVM,6,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.527857142857,,SVM,6,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.527857142857,,SVM,6,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.527857142857,,SVM,6,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,,0.511666666667,SVM,6,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.527857142857,,SVM,6,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.527857142857,,SVM,6,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.527857142857,,SVM,6,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.523571428571,,SVM,6,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
,,0.856666666667,KNN,7,,,,1,0.5,2000,0.3,0.2
,0.852857142857,,KNN,7,,,,1,0.5,2000,0.3,0.2
,,0.858333333333,KNN,7,,,LMNN,1,0.5,2000,0.3,0.2
,0.848571428571,,KNN,7,,,LMNN,1,0.5,2000,0.3,0.2
,,0.778333333333,KNN,7,,,,10,0.5,2000,0.3,0.2
,0.687857142857,,KNN,7,,,,10,0.5,2000,0.3,0.2
,,0.78,KNN,7,,,LMNN,10,0.5,2000,0.3,0.2
,0.687142857143,,KNN,7,,,LMNN,10,0.5,2000,0.3,0.2
1,,0.511666666667,SVM,7,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.525714285714,,SVM,7,0.003,rbf,,,0.5,2000,0.3,0.2
0.1,0.525714285714,,SVM,7,0.01,rbf,,,0.5,2000,0.3,0.2
1,0.547857142857,,SVM,7,0.003,rbf,,,0.5,2000,0.3,0.2
1,0.547857142857,,SVM,7,0.01,rbf,,,0.5,2000,0.3,0.2
0.1,,0.523333333333,SVM,7,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.525714285714,,SVM,7,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
0.1,0.553571428571,,SVM,7,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.548571428571,,SVM,7,0.003,rbf,LMNN,,0.5,2000,0.3,0.2
1,0.549285714286,,SVM,7,0.01,rbf,LMNN,,0.5,2000,0.3,0.2
