C,CV_mean_accuracy,accuracy,classifier_desc,dim,gamma,kernel,metriclearn_type,n_neighbors,p,sample_size,test_size,var
,,0.975666666667,KNN,3,,,,1,0.5,10000,0.3,0.2
,0.972142857143,,KNN,3,,,,1,0.5,10000,0.3,0.2
,,0.976333333333,KNN,3,,,LMNN,1,0.5,10000,0.3,0.2
,0.972857142857,,KNN,3,,,LMNN,1,0.5,10000,0.3,0.2
,,0.982,KNN,3,,,,10,0.5,10000,0.3,0.2
,0.981714285714,,KNN,3,,,,10,0.5,10000,0.3,0.2
,,0.982,KNN,3,,,LMNN,10,0.5,10000,0.3,0.2
,0.980428571429,,KNN,3,,,LMNN,10,0.5,10000,0.3,0.2
0.1,,0.536666666667,SVM,3,0.003,rbf,,,0.5,10000,0.3,0.2
0.1,0.583571428571,,SVM,3,0.003,rbf,,,0.5,10000,0.3,0.2
0.1,0.541,,SVM,3,0.01,rbf,,,0.5,10000,0.3,0.2
1,0.548142857143,,SVM,3,0.003,rbf,,,0.5,10000,0.3,0.2
1,0.564142857143,,SVM,3,0.01,rbf,,,0.5,10000,0.3,0.2
1,,0.867333333333,SVM,3,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.558285714286,,SVM,3,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.599142857143,,SVM,3,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.591714285714,,SVM,3,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.823,,SVM,3,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
,,0.958,KNN,4,,,,1,0.5,10000,0.3,0.2
,0.963571428571,,KNN,4,,,,1,0.5,10000,0.3,0.2
,,0.958333333333,KNN,4,,,LMNN,1,0.5,10000,0.3,0.2
,0.963142857143,,KNN,4,,,LMNN,1,0.5,10000,0.3,0.2
,,0.972666666667,KNN,4,,,,10,0.5,10000,0.3,0.2
,0.976285714286,,KNN,4,,,,10,0.5,10000,0.3,0.2
,,0.974333333333,KNN,4,,,LMNN,10,0.5,10000,0.3,0.2
,0.976714285714,,KNN,4,,,LMNN,10,0.5,10000,0.3,0.2
1,,0.565666666667,SVM,4,0.01,rbf,,,0.5,10000,0.3,0.2
0.1,0.503285714286,,SVM,4,0.003,rbf,,,0.5,10000,0.3,0.2
0.1,0.503285714286,,SVM,4,0.01,rbf,,,0.5,10000,0.3,0.2
1,0.503285714286,,SVM,4,0.003,rbf,,,0.5,10000,0.3,0.2
1,0.548285714286,,SVM,4,0.01,rbf,,,0.5,10000,0.3,0.2
1,,0.810666666667,SVM,4,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.503285714286,,SVM,4,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.767,,SVM,4,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.756428571429,,SVM,4,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.801714285714,,SVM,4,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
,,0.950666666667,KNN,5,,,,1,0.5,10000,0.3,0.2
,0.955285714286,,KNN,5,,,,1,0.5,10000,0.3,0.2
,,0.951333333333,KNN,5,,,LMNN,1,0.5,10000,0.3,0.2
,0.955142857143,,KNN,5,,,LMNN,1,0.5,10000,0.3,0.2
,,0.968333333333,KNN,5,,,,10,0.5,10000,0.3,0.2
,0.969142857143,,KNN,5,,,,10,0.5,10000,0.3,0.2
,,0.968666666667,KNN,5,,,LMNN,10,0.5,10000,0.3,0.2
,0.97,,KNN,5,,,LMNN,10,0.5,10000,0.3,0.2
0.1,,0.630666666667,SVM,5,0.01,rbf,,,0.5,10000,0.3,0.2
0.1,0.604714285714,,SVM,5,0.003,rbf,,,0.5,10000,0.3,0.2
0.1,0.628142857143,,SVM,5,0.01,rbf,,,0.5,10000,0.3,0.2
1,0.623714285714,,SVM,5,0.003,rbf,,,0.5,10000,0.3,0.2
1,0.616857142857,,SVM,5,0.01,rbf,,,0.5,10000,0.3,0.2
0.1,,0.629666666667,SVM,5,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.628714285714,,SVM,5,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.620571428571,,SVM,5,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.614,,SVM,5,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.583571428571,,SVM,5,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
,,0.939666666667,KNN,6,,,,1,0.5,10000,0.3,0.2
,0.935142857143,,KNN,6,,,,1,0.5,10000,0.3,0.2
,,0.937666666667,KNN,6,,,LMNN,1,0.5,10000,0.3,0.2
,0.932,,KNN,6,,,LMNN,1,0.5,10000,0.3,0.2
,,0.956666666667,KNN,6,,,,10,0.5,10000,0.3,0.2
,0.950285714286,,KNN,6,,,,10,0.5,10000,0.3,0.2
,,0.955,KNN,6,,,LMNN,10,0.5,10000,0.3,0.2
,0.948714285714,,KNN,6,,,LMNN,10,0.5,10000,0.3,0.2
1,,0.578,SVM,6,0.01,rbf,,,0.5,10000,0.3,0.2
0.1,0.505285714286,,SVM,6,0.003,rbf,,,0.5,10000,0.3,0.2
0.1,0.505285714286,,SVM,6,0.01,rbf,,,0.5,10000,0.3,0.2
1,0.505285714286,,SVM,6,0.003,rbf,,,0.5,10000,0.3,0.2
1,0.537714285714,,SVM,6,0.01,rbf,,,0.5,10000,0.3,0.2
1,,0.673,SVM,6,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.505285714286,,SVM,6,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
0.1,0.529857142857,,SVM,6,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.554428571429,,SVM,6,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
1,0.675142857143,,SVM,6,0.01,rbf,LMNN,,0.5,10000,0.3,0.2
,,0.915666666667,KNN,7,,,,1,0.5,10000,0.3,0.2
,0.909428571429,,KNN,7,,,,1,0.5,10000,0.3,0.2
,,0.912,KNN,7,,,LMNN,1,0.5,10000,0.3,0.2
,0.910428571429,,KNN,7,,,LMNN,1,0.5,10000,0.3,0.2
,,0.940333333333,KNN,7,,,,10,0.5,10000,0.3,0.2
,0.926428571429,,KNN,7,,,,10,0.5,10000,0.3,0.2
,,0.942666666667,KNN,7,,,LMNN,10,0.5,10000,0.3,0.2
,0.926142857143,,KNN,7,,,LMNN,10,0.5,10000,0.3,0.2
1,,0.565,SVM,7,0.01,rbf,,,0.5,10000,0.3,0.2
0.1,0.553,,SVM,7,0.003,rbf,,,0.5,10000,0.3,0.2
0.1,0.556571428571,,SVM,7,0.01,rbf,,,0.5,10000,0.3,0.2
1,0.565285714286,,SVM,7,0.003,rbf,,,0.5,10000,0.3,0.2
1,0.565857142857,,SVM,7,0.01,rbf,,,0.5,10000,0.3,0.2
1,,0.564333333333,SVM,7,0.003,rbf,LMNN,,0.5,10000,0.3,0.2
