C,CV_mean_accuracy,accuracy,classifier_desc,corruption,criterion,first_dims,gamma,kernel,max_features,n_estimators,n_neighbors,noise_dims,sample_size,second_dims,test_size
,,0.976004799,KNN,0,,2,,,,,10,0,5000,2,0.333333333
,0.95619562,,KNN,0,,2,,,,,1,0,5000,2,0.333333333
,0.95409541,,KNN,0,,2,,,,,2,0,5000,2,0.333333333
,0.97029703,,KNN,0,,2,,,,,10,0,5000,2,0.333333333
,,0.955608878,Random Forest,0,gini,2,,,sqrt,100,,0,5000,2,0.333333333
10,,0.972405519,SVM,0,,2,1,rbf,,,,0,5000,2,0.333333333
0.1,0.501650165,,SVM,0,,2,0.01,rbf,,,,0,5000,2,0.333333333
0.1,0.497449745,,SVM,0,,2,0.1,rbf,,,,0,5000,2,0.333333333
0.1,0.933693369,,SVM,0,,2,1,rbf,,,,0,5000,2,0.333333333
1,0.495949595,,SVM,0,,2,0.01,rbf,,,,0,5000,2,0.333333333
1,0.580558056,,SVM,0,,2,0.1,rbf,,,,0,5000,2,0.333333333
1,0.96069607,,SVM,0,,2,1,rbf,,,,0,5000,2,0.333333333
10,0.528052805,,SVM,0,,2,0.01,rbf,,,,0,5000,2,0.333333333
10,0.615061506,,SVM,0,,2,0.1,rbf,,,,0,5000,2,0.333333333
10,0.96369637,,SVM,0,,2,1,rbf,,,,0,5000,2,0.333333333
,,0.5104979,Gaussian Naive Bayes,0,,2,,,,,,0,5000,2,0.333333333
,,0.944811038,KNN,0,,2,,,,,10,0,5000,3,0.333333333
,0.924692469,,KNN,0,,2,,,,,1,0,5000,3,0.333333333
,0.919891989,,KNN,0,,2,,,,,2,0,5000,3,0.333333333
,0.939393939,,KNN,0,,2,,,,,10,0,5000,3,0.333333333
,,0.722255549,Random Forest,0,gini,2,,,sqrt,100,,0,5000,3,0.333333333
10,,0.911217756,SVM,0,,2,1,rbf,,,,0,5000,3,0.333333333
0.1,0.500750075,,SVM,0,,2,0.01,rbf,,,,0,5000,3,0.333333333
0.1,0.505550555,,SVM,0,,2,0.1,rbf,,,,0,5000,3,0.333333333
0.1,0.695169517,,SVM,0,,2,1,rbf,,,,0,5000,3,0.333333333
1,0.508250825,,SVM,0,,2,0.01,rbf,,,,0,5000,3,0.333333333
1,0.536153615,,SVM,0,,2,0.1,rbf,,,,0,5000,3,0.333333333
1,0.833483348,,SVM,0,,2,1,rbf,,,,0,5000,3,0.333333333
10,0.538553855,,SVM,0,,2,0.01,rbf,,,,0,5000,3,0.333333333
10,0.572457246,,SVM,0,,2,0.1,rbf,,,,0,5000,3,0.333333333
10,0.893189319,,SVM,0,,2,1,rbf,,,,0,5000,3,0.333333333
,,0.475704859,Gaussian Naive Bayes,0,,2,,,,,,0,5000,3,0.333333333
