KNN_algorithm,KNN_leaf_size,KNN_metric,KNN_n_jobs,KNN_n_neighbors,KNN_p,KNN_weights,RBFSVM_C,RBFSVM_cache_size,RBFSVM_coef0,RBFSVM_degree,RBFSVM_gamma,RBFSVM_kernel,RBFSVM_max_iter,RBFSVM_probability,RBFSVM_shrinking,RBFSVM_tol,RBFSVM_verbose,RandomForest_RandomForestClassifier_bootstrap,RandomForest_RandomForestClassifier_criterion,RandomForest_RandomForestClassifier_max_features,RandomForest_RandomForestClassifier_min_impurity_split,RandomForest_RandomForestClassifier_min_samples_leaf,RandomForest_RandomForestClassifier_min_samples_split,RandomForest_RandomForestClassifier_min_weight_fraction_leaf,RandomForest_RandomForestClassifier_n_estimators,RandomForest_RandomForestClassifier_n_jobs,RandomForest_RandomForestClassifier_oob_score,RandomForest_RandomForestClassifier_verbose,RandomForest_RandomForestClassifier_warm_start,accuracy_KNN,accuracy_RBFSVM,accuracy_RandomForest,network_extra_noise,network_sample_size,network_sine_corruption,network_sine_periods,network_test_size,network_xor_corruption,network_xor_dim,network_xor_var
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.892,0.952,0.982666666667,0,5000,0,2,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.791333333333,0.859333333333,0.975333333333,0,5000,0,3,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.938666666667,0.941333333333,0.979333333333,0,5000,0.15,1,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.833333333333,0.836666666667,0.988,0,5000,0.15,2,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.735333333333,0.762,0.981333333333,0,5000,0.15,3,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.912,0.918,0.976,0,5000,0.3,1,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.826,0.804666666667,0.982666666667,0,5000,0.3,2,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.704,0.699333333333,0.982,0,5000,0.3,3,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.928,0.936,0.983333333333,0,5000,0.45,1,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.792,0.768666666667,0.983333333333,0,5000,0.45,2,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.692,0.689333333333,0.98,0,5000,0.45,3,0.3,0,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.930666666667,1.0,0.885333333333,0,5000,0,1,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.786666666667,0.958,0.828666666667,0,5000,0,2,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.686,0.824,0.828666666667,0,5000,0,3,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.79,0.835333333333,0.816,0,5000,0.15,1,0.3,0.15,3,0.2
auto,30,minkowski,1,5,2,uniform,1.0,200,0.0,3,auto,rbf,-1,False,True,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.690666666667,0.796,0.817333333333,0,5000,0.15,2,0.3,0.15,3,0.2
