KNN_algorithm,KNN_leaf_size,KNN_mean_test_score,KNN_mean_train_score,KNN_metric,KNN_n_jobs,KNN_n_neighbors,KNN_p,KNN_rank_test_score,KNN_split0_test_score,KNN_split0_train_score,KNN_split1_test_score,KNN_split1_train_score,KNN_split2_test_score,KNN_split2_train_score,KNN_std_test_score,KNN_std_train_score,KNN_weights,RBFSVM_C,RBFSVM_cache_size,RBFSVM_coef0,RBFSVM_degree,RBFSVM_gamma,RBFSVM_kernel,RBFSVM_max_iter,RBFSVM_mean_test_score,RBFSVM_mean_train_score,RBFSVM_probability,RBFSVM_rank_test_score,RBFSVM_shrinking,RBFSVM_split0_test_score,RBFSVM_split0_train_score,RBFSVM_split1_test_score,RBFSVM_split1_train_score,RBFSVM_split2_test_score,RBFSVM_split2_train_score,RBFSVM_std_test_score,RBFSVM_std_train_score,RBFSVM_tol,RBFSVM_verbose,RandomForest_RandomForestClassifier_bootstrap,RandomForest_RandomForestClassifier_criterion,RandomForest_RandomForestClassifier_max_features,RandomForest_RandomForestClassifier_min_impurity_split,RandomForest_RandomForestClassifier_min_samples_leaf,RandomForest_RandomForestClassifier_min_samples_split,RandomForest_RandomForestClassifier_min_weight_fraction_leaf,RandomForest_RandomForestClassifier_n_estimators,RandomForest_RandomForestClassifier_n_jobs,RandomForest_RandomForestClassifier_oob_score,RandomForest_RandomForestClassifier_verbose,RandomForest_RandomForestClassifier_warm_start,accuracy_KNN,accuracy_RBFSVM,accuracy_RandomForest,network_extra_noise,network_sample_size,network_sine_corruption,network_sine_periods,network_test_size,network_xor_corruption,network_xor_dim,network_xor_var
auto,30,0.977428571429,1.0,minkowski,1,1,2,1,0.971722365039,1.0,0.982862039417,1.0,0.977701543739,1.0,0.00455249291259,0.0,uniform,1.0,200,0.0,3,auto,rbf,-1,,,False,,True,,,,,,,,,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,0.927428571429,0.95114254907,minkowski,1,10,2,2,0.935732647815,0.946849549936,0.936589545844,0.953279039863,0.909948542024,0.953299057412,0.0123599035105,0.00303561979969,uniform,1.0,200,0.0,3,auto,rbf,-1,,,False,,True,,,,,,,,,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.01,rbf,-1,0.706,0.71285596804,False,9,True,0.712082262211,0.712816116588,0.718937446444,0.704672096014,0.686963979417,0.721079691517,0.0137427900728,0.00669843208774,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,0.1,rbf,-1,0.820285714286,0.834285176986,False,6,True,0.813196229649,0.837548221174,0.835475578406,0.827261037291,0.81217838765,0.838046272494,0.0107511896079,0.00497097694111,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,0.1,200,0.0,3,1,rbf,-1,0.913428571429,0.952286242875,False,5,True,0.92116538132,0.952421774539,0.92116538132,0.955850835834,0.897941680961,0.948586118252,0.0109461923679,0.00296735651265,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.01,rbf,-1,0.744571428571,0.752856847098,False,8,True,0.739502999143,0.754822117445,0.756640959726,0.74882126018,0.73756432247,0.754927163668,0.00857288358579,0.0028539131036,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,0.1,rbf,-1,0.938857142857,0.95400022258,False,4,True,0.938303341902,0.949849978568,0.941730934019,0.95970852979,0.93653516295,0.952442159383,0.00215687491266,0.00417280311402,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,1,200,0.0,3,1,rbf,-1,0.988857142857,0.999428612216,False,3,True,0.98971722365,0.999571367338,0.988003427592,0.999571367338,0.98885077187,0.999143101971,0.000699768743228,0.000201886230256,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,0.01,rbf,-1,0.774,0.786285909616,False,7,True,0.766066838046,0.79382768967,0.787489288775,0.780111444492,0.768439108062,0.784918594687,0.00958943496899,0.00568248818926,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
auto,30,,,minkowski,1,5,2,,,,,,,,,,uniform,10,200,0.0,3,0.1,rbf,-1,0.999428571429,1.0,False,1,True,0.999143101971,1.0,1.0,1.0,0.999142367067,1.0,0.000404147716765,0.0,0.001,False,True,gini,auto,1e-07,1,2,0.0,100,1,False,0,False,0.99,1.0,0.982666666667,0,5000,0,1,0.3,0,3,0.2
